student_id,internship_id,skills,req_skills_job,gpa,stipend_internship,reservation,gender,rural,match,accept
S05239,I030,design frontend pcb_design social_media sql,cloud java python sql,6.41,5000.0,OBC,M,0,1,0
S02007,I011,autocad backend seo social_media,analysis communication,7.96,5000.0,GEN,M,1,1,0
S05544,I005,autocad cad_modelling java writing,analysis construction_management design,6.92,5000.0,GEN,M,1,0,0
S04838,I052,presentation sql,cloud frontend ml,7.85,5000.0,GEN,F,0,0,0
S01792,I002,ml social_media,analysis autocad,7.52,5000.0,GEN,F,0,0,0
S04598,I013,analysis java manufacturing presentation social_media,analysis construction_management design surveying,7.13,5000.0,ST,F,1,1,0
S04465,I023,communication financial_modeling sql surveying writing,frontend java ml sql,6.67,5000.0,OBC,M,0,0,0
S02279,I021,construction_management sql,autocad cad_modelling design manufacturing,6.9,5000.0,GEN,F,0,0,0
S01308,I047,backend communication financial_modeling social_media,cad_modelling design manufacturing,5.5,5000.0,OBC,F,0,0,0
S01274,I030,analysis communication financial_modeling,cloud java python sql,5.44,5000.0,OBC,M,0,1,0
S00838,I037,analysis social_media,backend cloud networking python,7.38,5000.0,SC,F,0,1,1
S02818,I042,backend frontend java presentation,communication excel presentation,9.39,5000.0,GEN,M,1,0,0
S05978,I046,autocad cad_modelling manufacturing writing,backend cloud frontend,5.74,5000.0,OBC,M,0,0,0
S03101,I012,cad_modelling excel presentation seo,excel seo writing,7.13,5000.0,OBC,M,1,1,0
S05150,I005,financial_modeling ml presentation python seo,analysis construction_management design,6.72,5000.0,GEN,F,0,0,0
S04730,I007,excel presentation sql writing,design manufacturing networking pcb_design,7.73,5000.0,GEN,M,0,1,1
S05418,I050,design excel,frontend ml networking,5.2,5000.0,GEN,F,0,0,0
S00654,I040,excel presentation python,design social_media writing,5.85,5000.0,GEN,M,0,0,0
S03114,I003,autocad cloud construction_management python,ml networking python sql,6.86,5000.0,ST,F,0,1,0
S02989,I049,analysis autocad cad_modelling design financial_modeling,design presentation seo writing,7.08,5000.0,GEN,M,0,1,0
S05491,I026,autocad cad_modelling manufacturing networking sql,design networking pcb_design,6.32,5000.0,GEN,M,1,1,0
S05309,I014,backend design frontend java sql,backend frontend python,7.77,5000.0,ST,M,1,1,0
S04376,I068,analysis frontend manufacturing ml,analysis communication,6.01,5000.0,ST,M,0,0,0
S03109,I063,communication ml,analysis ml presentation python,7.17,5000.0,GEN,M,0,1,0
S05638,I007,communication presentation surveying,design manufacturing networking pcb_design,6.79,5000.0,ST,F,0,0,0
S00459,I019,analysis python,analysis autocad construction_management surveying,5.92,5000.0,ST,M,0,1,1
S02585,I057,cloud communication design python,backend cloud ml sql,6.43,5000.0,GEN,F,1,0,0
S04647,I043,analysis communication excel presentation seo,communication presentation seo writing,6.31,5000.0,GEN,M,0,0,0
S05370,I010,backend design manufacturing social_media sql,presentation sql,7.41,5000.0,ST,M,0,1,0
S05267,I053,backend cloud ml,backend cloud sql,5.81,5000.0,GEN,F,0,1,1
S02021,I054,presentation python social_media surveying,backend frontend networking sql,8.24,5000.0,GEN,M,1,0,0
S04789,I009,communication excel presentation,autocad design,4.35,5000.0,GEN,M,0,0,0
S02966,I060,analysis frontend java sql,analysis design pcb_design python,6.46,5000.0,GEN,M,0,1,0
S04175,I005,analysis presentation sql,analysis construction_management design,6.67,5000.0,GEN,F,1,0,0
S00899,I026,frontend networking,design networking pcb_design,5.44,5000.0,GEN,M,0,1,1
