student_id,gpa,skills,reservation,rural,gender,pref_1,pref_2,pref_3,pref_4,pref_5,pref_6
S00001,7.5,sql;autocad,OBC,0,M,I015,I003,I010,I018,I045,I042
S00002,6.86,cloud;writing;excel;ml,SC,0,F,I048,I030,I029,I027,I019,I004
S00003,6.77,financial_modeling;networking,OBC,1,F,I011,I052,I058,I055,I031,I036
S00004,6.77,java;analysis;frontend,OBC,0,F,I053,I058,I045,I041,I048,I055
S00005,8.58,analysis;autocad;cloud;java;networking,GEN,1,F,I006,I052,I041,I036,I043,I030
S00006,7.77,networking;frontend,SC,0,M,I054,I060,I039,I058,I055,I002
S00007,6.53,social_media;writing;design;excel,GEN,1,M,I049,I055,I023,I045,I044,I013
S00008,7.54,autocad;networking;surveying;ml,GEN,1,M,I027,I009,I038,I007,I052,I011
S00009,7.24,presentation;excel;social_media,GEN,0,M,I043,I036,I039,I011,I018,I027
S00010,5.09,analysis;autocad;surveying,GEN,1,F,I001,I012,I057,I043,I037,I053
S00011,5.99,python;writing,OBC,1,F,I060,I053,I011,I015,I040,I012
S00012,7.31,manufacturing;communication,SC,1,M,I026,I034,I037,I055,I056,I014
S00013,8.47,autocad;frontend;design;sql;surveying,OBC,1,F,I021,I051,I006,I024,I004,I037
S00014,6.77,cad_modelling;manufacturing;design,GEN,0,M,I006,I010,I048,I042,I026,I020
S00015,6.46,construction_management;design,GEN,0,F,I004,I039,I012,I029,I008,I018
S00016,7.11,analysis;excel,SC,1,M,I026,I056,I052,I014,I022,I017
S00017,6.4,presentation;java,SC,0,M,I043,I046,I019,I052,I041,I035
S00018,6.71,python;ml;cloud;frontend,OBC,0,F,I018,I049,I030,I043,I056,I058
S00019,6.99,cloud;ml;sql;communication;manufacturing,GEN,1,M,I057,I054,I017,I053,I036,I023
S00020,5.94,construction_management;analysis;autocad;excel;cloud,GEN,0,F,I005,I015,I058,I020,I011,I036
S00021,7.82,python;design;presentation,OBC,1,M,I007,I045,I048,I011,I056,I039
S00022,5.78,networking;design;writing;social_media,OBC,0,M,I008,I017,I053,I044,I026,I036
S00023,5.67,pcb_design;frontend,OBC,0,M,I026,I018,I016,I003,I037,I055
S00024,7.2,communication;cloud,OBC,0,M,I039,I015,I058,I040,I004,I018
S00025,7.74,analysis;autocad;design;cad_modelling;pcb_design,OBC,1,F,I021,I019,I018,I046,I052,I039
S00026,7.17,cloud;python;java,GEN,1,M,I030,I035,I042,I017,I036,I056
S00027,6.88,financial_modeling;sql;analysis;cad_modelling;cloud,GEN,1,M,I042,I020,I037,I030,I048,I053
S00028,6.7,python;design;ml;frontend;analysis,ST,1,F,I007,I027,I036,I028,I056,I022
S00029,6.54,cloud;design,GEN,1,F,I014,I055,I045,I018,I037,I011
S00030,8.06,cad_modelling;python;frontend;surveying,ST,0,F,I002,I049,I058,I033,I051,I009
S00031,7.32,surveying;analysis;autocad;cad_modelling,OBC,1,M,I027,I047,I002,I035,I038,I036
S00032,6.61,excel;seo;surveying;frontend;writing,GEN,0,F,I049,I055,I054,I009,I056,I018
