student_id,internship_id,pref_rank
S00405,I001,1
S03847,I001,1
S03066,I001,1
S03206,I025,1
S00395,I001,1
S01470,I001,2
S01189,I001,1
S02401,I001,2
S02225,I002,2
S02784,I002,2
S02816,I002,1
S02554,I002,2
S00621,I002,1
S03788,I002,1
S03153,I002,2
S02969,I002,2
S02325,I002,1
S01297,I002,5
S00907,I003,1
S01251,I051,1
S01228,I004,2
S03064,I004,1
S03572,I004,1
S02684,I004,2
S00514,I004,2
S02073,I004,1
S00446,I005,3
S01073,I005,1
S02300,I005,1
S01169,I005,2
S01425,I005,3
S01588,I006,1
S03802,I006,1
S00044,I006,1
S00807,I006,1
S02739,I007,1
S02076,I007,1
S00624,I008,1
S01259,I055,2
S02468,I008,1
S03553,I009,1
S00675,I009,1
S01840,I009,1
S01392,I009,1
S03832,I009,1
S02955,I009,1
S02628,I009,2
S03633,I010,1
S02053,I010,1
S01289,I010,2
S03639,I011,1
S03306,I011,1
S03484,I011,1
S03137,I011,1
S01916,I011,1
S03815,I012,1
S02209,I013,1
S03672,I013,1
S01597,I008,1
S02491,I013,1
S03007,I027,1
S01360,I013,1
S00262,I013,1
S01700,I013,1
S02113,I013,1
S01084,I013,1
S01995,I014,3
S03189,I014,2
S00721,I014,2
S01560,I014,3
S00677,I014,4
S03744,I014,2
S01867,I015,1
S03026,I015,1
S03207,I015,1
S03957,I060,1
S03709,I015,2
S02807,I015,1
S02391,I033,1
S02609,I015,1
S01345,I015,1
S02243,I016,7
S02502,I055,1
S03861,I037,1
S03584,I016,7
S01886,I053,1
S00808,I016,7
S01511,I016,7
S03481,I016,7
S02737,I016,7
S01065,I017,1
S02369,I017,1
S00459,I023,2
S03428,I019,1
S02631,I017,1
S00788,I018,1
S02112,I018,1
S00467,I018,2
S01736,I018,2
S03784,I018,2
S00860,I018,3
S01750,I018,2
S02828,I018,2
S01698,I018,2
S01472,I019,1
S00685,I019,1
S02834,I019,1
S02233,I019,2
S03284,I019,1
S01026,I019,1
S03287,I019,1
S00282,I019,1
S02188,I019,1
S00740,I020,2
S03924,I020,2
S01184,I021,2
S00779,I021,2
S00704,I021,4
S00616,I022,1
S00295,I022,2
S03870,I022,2
S02904,I023,1
S02974,I023,2
S01871,I023,3
S03187,I024,1
S00292,I024,1
S03603,I024,4
S03377,I024,2
S01340,I024,4
S03886,I049,3
S03517,I025,1
S01922,I025,1
S03412,I025,2
S03652,I026,1
S03068,I026,1
S02884,I026,1
S00418,I026,5
S02379,I026,4
S03529,I027,1
S02313,I027,3
S00627,I027,1
S02579,I027,2
S01803,I027,2
S03912,I027,1
S01650,I027,3
S03328,I028,1
S01790,I028,1
S00643,I028,1
S03003,I028,1
S02557,I028,2
S02385,I029,1
S00584,I029,1
