student_id,internship_id,pref_rank
S00405,I001,1
S03463,I001,1
S05635,I001,1
S05458,I001,2
S02102,I001,1
S02368,I001,2
S00352,I001,1
S05697,I001,1
S00690,I039,1
S03432,I001,3
S01643,I001,3
S05959,I001,2
S02265,I038,1
S02297,I001,4
S03011,I011,1
S02145,I001,4
S02302,I001,4
S00402,I001,3
S03848,I059,1
S02225,I002,2
S05817,I002,2
S05799,I002,3
S03205,I002,2
S03498,I015,1
S02286,I002,1
S04760,I002,3
S03977,I002,1
S00399,I002,4
S00903,I002,3
S05860,I002,3
S03992,I002,4
S02830,I018,1
S02668,I048,1
S04196,I002,2
S05631,I062,1
S01638,I002,4
S01773,I002,5
S05835,I009,1
S02759,I002,6
S00897,I052,1
S00459,I023,2
S00939,I002,3
S02224,I044,2
S01974,I002,6
S00907,I003,1
S01251,I003,2
S03681,I003,1
S02242,I003,1
S00497,I003,2
S00061,I003,2
S03266,I035,1
S05242,I003,3
S03067,I003,1
S02186,I003,3
S02402,I003,1
S01027,I003,3
S01148,I056,1
S03641,I054,2
S01208,I003,2
S04470,I003,2
S03886,I007,1
S00249,I003,2
S01652,I004,2
S03926,I004,1
S04116,I004,2
S01369,I004,1
S05613,I004,1
S05825,I039,2
S03768,I054,2
S05840,I004,4
S03447,I004,2
S01259,I024,1
S02744,I004,2
S00173,I004,3
S04148,I066,1
S01591,I031,5
S05807,I038,1
S05612,I004,7
S00192,I004,7
S05478,I004,2
S04803,I004,7
S05571,I004,7
S01472,I019,1
S03802,I043,2
S00675,I004,7
S05489,I004,7
S00446,I005,3
S01828,I005,1
S00020,I005,1
S03261,I005,3
S03153,I005,3
S02794,I005,1
S01476,I013,1
S02779,I029,1
S04041,I041,4
S04403,I062,1
S01949,I005,7
S00289,I005,7
S04717,I043,2
S00974,I005,7
S03113,I027,1
S00924,I005,7
S05768,I055,1
S05687,I034,1
S02784,I005,7
S01024,I006,1
S00044,I006,1
S03377,I006,1
S01182,I006,1
S03623,I006,1
S01140,I006,1
S01008,I006,1
S02827,I006,1
S03140,I006,1
S01421,I006,1
S02184,I006,1
S02857,I006,2
S01252,I006,1
S03982,I006,1
S05206,I006,2
S03253,I006,3
S03063,I006,2
S05289,I006,3
S02748,I006,2
S03534,I006,1
S05848,I006,3
S05296,I006,2
S03691,I006,3
S01086,I006,1
S02533,I007,1
S00914,I007,2
S01528,I007,1
S04981,I007,5
S03917,I007,4
S05979,I037,1
S04974,I062,1
S05499,I062,3
S00046,I002,1
S02701,I009,4
S01495,I007,7
S05971,I053,2
S05026,I007,7
S03505,I052,1
S05387,I007,7
S04112,I007,7
S00648,I046,2
S01297,I008,1
S03324,I008,1
S01570,I008,1
S00066,I008,1
S03517,I025,1
S00491,I008,1
S01733,I008,2
S04332,I008,2
S01296,I008,3
S03892,I008,3
S05263,I008,3
S04602,I029,3
S01361,I008,2
S00122,I036,1
S02993,I008,4
S01485,I045,1
S00146,I008,4
S05187,I008,5
S04099,I042,2
S03077,I008,5
S04123,I008,3
S03158,I009,2
S04904,I009,2
S01098,I009,1
S00582,I016,1
S02239,I009,1
S05366,I009,2
S02955,I009,1
S02628,I045,1
S04655,I009,3
S00265,I009,3
S03692,I009,1
S00144,I013,1
S02216,I009,1
S01966,I009,2
S01958,I009,5
S01020,I009,2
S00278,I050,1
S02643,I009,4
S00041,I009,3
S03633,I010,1
S01447,I010,1
S05056,I010,1
S05962,I010,1
S05326,I010,1
S01453,I010,1
S01541,I010,1
S03782,I010,2
S05197,I010,2
S05361,I010,3
S03595,I010,1
S05145,I010,1
S02247,I010,1
S03400,I010,3
S00959,I010,1
S01633,I010,2
S01196,I058,1
S00284,I010,1
S03639,I011,1
S04276,I011,2
S03942,I017,1
S04176,I011,2
S01891,I011,1
S03484,I011,1
S03410,I011,1
S03137,I011,1
S03344,I011,1
S02782,I011,1
S01270,I011,2
S00996,I011,2
S00683,I011,1
S03883,I011,1
S02854,I011,1
S02740,I011,1
S03366,I004,1
S02570,I011,1
S05464,I012,1
S01598,I012,2
S00389,I012,1
S00704,I012,2
S00339,I012,1
S01470,I012,1
S01481,I012,2
S00015,I012,3
S05866,I012,1
S03305,I012,1
S04504,I012,2
S02811,I012,4
S00890,I012,1
S03565,I012,2
S02299,I012,1
S04458,I061,1
S01954,I012,1
S02814,I012,1
S01427,I012,3
S02072,I013,1
S01597,I008,1
S01702,I013,1
